id_doc 	page_pdf	page_book 	constr_type 	conjunction 	special_word 	meaning_Shvedova	meaning 	formula 	 formula_new 	year_first_using 	text_first_using 	year_last_using 	text_last_using 	other_examples	comments																				
1	57	114	причинная	зане	0	объяснение	объяснение	clause, зане clause	clause, зане clause	1719	<...> бог же рече мне, не созижди дому именовати имени моего в нем, зане еси муж бранник и крови пролиял еси: тако глаголют, и христиане понеже долженствуют быти храм божий, како дерзнут осквернити руце свои в крови...  [Гавриил (Бужинский). Слово о победе, полученной у Ангута (1719)]	2003	Убогому петь не тяжелый был труд, А песня ему не в хвалу и не в суд, Зане он над нею не волен! [Александр Терехов. Бабаев (2003)]																						
2	57	114	причинная	понеже	0	объяснение	объяснение	clause, понеже clause	clause, понеже clause	1682	И хотя неприятели по се число к сдаче города не склоняются, но жестокое упорство чинят, однако ж чаем, милостию Божиею, в кратком времени сдачи того города потому, что из них ныне надежда пропала, которую имели ожиданную к себе от салтана морем, понеже они видят, что оной помощи к ним, за препятием от наших ратей, пройтить стало невозможно”. [И. А. Желябужский. Дневные записки (1682-1709)]	2013	Указ главнокомандующего генерал-адмирала Ф.М. Апраксина «утемишского владения жителям» от 19 августа 1722 года был написан лично императором: «Понеже все горские владелцы сами прибежали и протекции у моего государя просили и что потребно на войско его величества давали, а ваши салтаны по се время ничем не отозвались, того ради сим вам объявляетца, чтоб вы прислали старшин 5 или 6 человек для принятия указов,и когда сие учините, то вам никакого разорения не будет. [Игорь Курукин. «Восточного пути врата отворить»: Каспийский поход Петра I» // «Знание-сила», 2013] 																						
3	57	114	причинная	понеже	то	причинно-следственное	причинно-следственное	понеже clause, то clause	понеже clause, то clause	1716	А понеже она от толикого монарха рожденна и умноженна есть и на нем основанна стоит, то воистинну желати бы подобало его величеству безсмертнаго на земли жития и приветствием оным, у древних царей персидских обыкшим, пригласити ему: «Царю, во веки живи! [архиепископ Феофан (Прокопович). Слово похвальное в день рождества благороднейшаго государя царевича и великого князя Петра Петровича (1716)] 	2011	28 июля он писал Монсу: «Анета моя родила мне тряпицу, которой дали имя Анна, и девка изрядная, если будет жива, чаю карлица будет, чему б я и рад был, понеже когда будет не глупа, то б уповал, что будет вместо Авдотьюшки в милости, и я б больше не желал, чтобы она совсем была такова, какова, чтоб себе за особливое счастие причитал…» [Николай Крючков. Артемий Петрович и Виллим Иванович (2007) // «Родина», 2011] 																						
4	57	114	причинная	поелику	0	объяснение	объяснение	clause, поелику clause	clause, поелику clause	1721	И уже нечто сказать надобе о мирянах, поелику надлежат они к духовному управлению. [[Петр I]. Регламент или устав духовной коллегии (1721)] 	2014	В приказе говорилось: «Поелику до сведения нашего дошло, что этот человек хорошо знает русское государство, служил в канцелярии великого князя и изъявил готовность делать нам разные полезные сообщения, мы решили всемилостивейше пожаловать этому русскому двести риксдалеров серебром». [Елена Съянова. Шпион Котосикни: формула и парадокс // «Знание-сила», 2014] 																						
5	57	114	причинная	поелику	то	причинно-следственное	причинно-следственное	поелику clause, то clause	поелику clause, то clause	1783	Для лучшаго же познания истины можно о разных материях спрашивать каждаго служителя порознь поелику то возможно для укрощения поползновений таможенников, надлежит предписать: 1. [А. Н. Радищев. [О таможенных обрядах] (1783)] 	2013	"В одном из своих писем святой Василий Великий один из признанных учителей нашей церкви, писал: «Здравие и болезнь, богатство и бедность, слава и бесчестие, поелику обладающих ими не делают добрыми, по природе своей не суть блага; поелику же доставляют жизни нашей некоторое удобство, то прежде поименованные из них предпочтительнее противоположных им, и им приписывается некоторое достоинство» (св. [Марина Улыбышева, Сергей Шарапов. Православие и предпринимательство // «Эксперт», 2013]"																						
6	57	115	причинная	ибо	0	объяснение	объяснение	clause, ибо clause	clause, ибо clause	1682	"И тако, Божиею помощию, вся неприятельская, толь в свете славная армия, его царскому величеству в руки досталась; ибо от оной, кроме немногих сот, которые с королем чрез Днепр перешли, никто не убежал, но все его царского величества победоносному оружию сдатися принуждены. [И. А. Желябужский. Дневные записки (1682-1709)]"	2015	Чем дальше от Родины и от всего, что ты любишь, тем ближе хочется быть к Богу и к «своим» людям, ибо этого очень не хватает, а, живя на Родине, попросту этого не осознаешь, не понимаешь… [А. А. Данилова. Местность любви (2015.11.09)] 																						
7	58	116	причинная	потому что	0	объяснение	объяснение	clause, потому что clause	clause, потому что clause	1682	А имен нам своих написать невозможно, а приметы у нас: у одного на правом плече бородавка черная, а у другого на правой ноге поперек бедра рубец посеченый, а третьего объявим мы, потому что у него примет никаких нет”. [И. А. Желябужский. Дневные записки (1682-1709)] 	2016	[Екатерина Афанасьева, жен] На самом деле, учителям удобнее, чтобы все было единообразно ? потому что у них 4Х30 тетрадок каждый божий день. [коллективный. Единый орфографический режим в начальной школе (2016)] 																						
8	58	116	причинная	оттого что	0	объяснение	объяснение	clause, оттого что clause	clause, оттого что clause	1737	Хотя ныне по указу е. и. в. набраны салдат две роты, однакож оные более половины из рекрут и порятков салдацких незаобыкновенны, отчего непрестанно немалые погрешности происходят, паче же оттого, что офицеров недостаток, и смотреть за ними некому. [В. Н. Татищев. Наставление Татищева, оставленное им канцелярии главного правления казанских и сибирских заводов при отъезде в оренбургскую экспедицию (1737)] 	2015	Как легко мне теперь, оттого, что ни с кем не расстался. [А. А. Данилова. Местность любви (2015.11.09)]																						
9	58	116	причинная	для того что	0	целевое	целевое	clause для того, что clause	clause для того, что clause	1682	А сперва он, великий государь, на царство не выбран для того, что очьми был скорбен. [И. А. Желябужский. Дневные записки (1682-1709)]	2015	Но как мы понимаем, что для распространения христианства нужна и наша миссия, проповедь, так и для того, что бы в душе ребенка зрела совесть, нужна помощь родителя. [А. Бондарук. Иерархия души, или Как не воспитать бессовестного человека (2015.11.08)]																						
10	58	116	причинная	затем что	0	обоснование	обоснование	clause затем, что clause	clause затем, что clause	1698	Но не могли того учинить затем, что дацкая артилерия еще не была привезена, о которой государю объявил дацкой резидент, что оная обретается у острова, которой толко 7 миль от Стралзунта. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Но затем следовали просьбы построить заводы, фабрики, дать почувствовать ингушам, что они ? трудолюбивые люди. [Петр Скоробогатый. Ингушский стартап // «Эксперт», 2015]																						
11	58	117	причинная	за то что	0	целевое	целевое	clause за то, что clause	clause за то, что clause	1682	В том же году учинено наказанье Петру Васильеву сыну Кикину ? бит кнутом перед Стрелецким приказом за то, что он девку растлил. [И. А. Желябужский. Дневные записки (1682-1709)	2015	Спасибо вам за то, что вы делаете для Царского села! [Е. К. Зелинская, Б. П. Игдалов. Хранитель сокровищ (2015.11.06)]																						
12	58	117	причинная	тем что	0	орудийное	орудийное	Prep тем, что clause	Prep тем, что clause	1708	Всего в Киевской губернии и с тем что приписаны в Розряде и по росписи господина Голицына, 56 городов. [[Петр I]. Указ об учреждении губерний и о росписании к ним городов (1708)]	2015	Там я отработал около десяти лет, но по сравнению с тем, что нам предстояло поднять, это были, в общем, игрушки. [Е. К. Зелинская, Б. П. Игдалов. Хранитель сокровищ (2015.11.06)]																						
13	59	118	причинная	что	0	причинно-следственное	причинно-следственное	clause, что clause	clause, что clause	1698	В котором пути, недалеко проехав Краков, получил другую ведомость, что оных, не допустя к Москве, боярин и воевода Шеин и генерал Гордон при монастыре Воскресенском за 40 верст от Москвы разбили и, перехватив, посадили по разным местам за караул и начали оными розыскивать. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2016	[JaZZart, nick] Портреты вызвали такой восторг и такое щемящее чувство, что просто не смогла удержаться от слез. [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)] 																						
14	59	119	причинная	а как	то	причинно-следственное	причинно-следственное	а как clause, то clause	а как clause, то clause	1698	А как исцелился, то пошел с войском своим к Сендомирю. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2008	"А как меня за это наказывали, то я уходила тихонько в лес и там делала своё удовольствие; и братьев с собой уведу и их учу также лазить; и учительнице много за это доставалось» 40. [Анна Белова. «Займусь опять... моим счастливым детством...» // «Родина», 2008] "																						
15	59	119	причинная	а как	то и	причинно-следственное	причинно-следственное	а как clause, то и clause	а как clause, то и clause	1762	Но понеже собранїемъ сената и подлежащими голосами, предложенїе его, безъ всякаго противор?чїя и спору разсуждено обществу полезнымъ, то посл? онъ, съ возложенїемъ на него изъ цв?товъ сплетеннаго в?нца, для торжества, съ посл?дованїемъ и восклицанїемъ народа, водимъ былъ по всему городу, а какъ по прошествїи времяни, еще больше усмотрено, сколь великую пользу, уничтоженїе помянутаго обычая, въ народ? ихъ причинило, то и Кадокїемъ или великимъ канцлеромъ его зд?лали. [Стефан Савицкий (перевод книги Л. Хольберга). Подземное путешествїе представляющее Исторїю разнородныхъ съ удивительными и неслыханными свойствами животныхъ (1762)]	2008	А ведь есть еще чиновные шинельные бобры (положенные офицерству и чиновникам высших четырех классов) ? и если сначала шел Акакий Акакиевич по улицам с тощим освещением, то ничего величественного и не видел, «а как улицы становились сильнее освещены, то и пешеходы стали мелькать чаще, начали попадаться дамы, красиво одетые, на мужчинах попадались бобровые воротники». [Евгения Пищикова. Пятиэтажная Россия (2007) // «Русская Жизнь», 2008]																						
16	59	119	причинная	и как	то	причинно-следственное	причинно-следственное	и как clause, то clause	и как clause, то clause	1682	И как он [генерал] июля 12 дня к Петербурху пришел, и стал на берегу против острова, и почал стрелять на тот остров по строению, то наши с того острова из линей и с батарей, тако ж и с кораблей из пушек по нем жестоко начали стрелять, так что он, не мешкав, паки принужден был оступить, и скоростию, как шею сломя, паки назад с немалым уроном ушел. [И. А. Желябужский. Дневные записки (1682-1709)] 	2013	И как я себе представил, что придется уезжать от этого фантастического зрелища, то такая тоска меня взяла, хоть вешайся! [Алексей Моторов. Преступление доктора Паровозова (2013)]																						
17	59	119	причинная	и как	то и	причинно-следственное	причинно-следственное	и как clause, то и clause	и как clause, то и clause	1733	И как за оную казнить перестали, а учением исправляют, то и таких людей умалилось, где же учение распространяется и священники прилежнее о том народу толкуют, тамо весьма уже не слышно. [В. Н. Татищев. Разговор дву приятелей о пользе науки и училищах (1733)] 	1983	А решилось так, как рассказывал о них после войны Попсуйшапка: «…и как в двадцатом году ушли-и, то и по сей день идут!…» [В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 5 (1983)] 																						
